Space Data
QuorumThresh = 6
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 44, 156, 0, 0, 0, 0, 0, 0
4, 44, 156, 0, 0, 0, 0, 0, 0
5, 44, 156, 0, 0, 0, 0, 0, 0
6, 44, 156, 0, 0, 0, 0, 0, 0
7, 44, 156, 0, 0, 0, 0, 0, 0
8, 44, 156, 0, 0, 0, 0, 0, 0
9, 44, 156, 0, 0, 0, 0, 0, 0
10, 44, 156, 0, 0, 0, 0, 0, 0
11, 44, 156, 0, 0, 0, 0, 0, 0
12, 44, 156, 0, 0, 0, 0, 0, 0
13, 44, 156, 0, 0, 0, 0, 0, 0
14, 44, 156, 0, 0, 0, 0, 0, 0
15, 44, 156, 0, 0, 0, 0, 0, 0
16, 44, 156, 0, 0, 0, 0, 0, 0
17, 44, 156, 0, 0, 0, 0, 0, 0
18, 44, 156, 0, 0, 0, 0, 0, 0
19, 44, 156, 0, 0, 0, 0, 0, 0
20, 44, 156, 0, 0, 0, 0, 0, 0
21, 44, 156, 0, 0, 0, 0, 0, 0
22, 44, 156, 0, 0, 0, 0, 0, 0
23, 44, 156, 0, 0, 0, 0, 0, 0
24, 44, 156, 0, 0, 0, 0, 0, 0
25, 44, 156, 0, 0, 0, 0, 0, 0
26, 43, 156, 0, 0, 0, 1, 0, 0
27, 43, 156, 0, 0, 0, 1, 0, 0
28, 43, 156, 0, 0, 0, 1, 0, 0
29, 43, 156, 0, 0, 0, 1, 0, 0
30, 42, 156, 0, 0, 1, 1, 0, 0
31, 42, 156, 0, 0, 1, 1, 0, 0
32, 42, 156, 0, 0, 1, 1, 0, 0
33, 42, 156, 0, 0, 1, 1, 0, 0
34, 42, 156, 0, 0, 1, 1, 0, 0
35, 42, 156, 0, 0, 1, 1, 0, 0
36, 42, 156, 0, 0, 1, 1, 0, 0
37, 42, 156, 0, 0, 1, 1, 0, 0
38, 42, 156, 0, 0, 1, 1, 0, 0
39, 42, 156, 0, 0, 1, 1, 0, 0
40, 42, 156, 0, 0, 1, 1, 0, 0
41, 42, 156, 0, 0, 1, 1, 0, 0
42, 42, 156, 0, 0, 1, 1, 0, 0
43, 42, 156, 0, 0, 1, 1, 0, 0
44, 42, 156, 0, 0, 1, 1, 0, 0
45, 42, 156, 0, 0, 1, 1, 0, 0
46, 42, 156, 0, 0, 1, 1, 0, 0
47, 42, 156, 0, 0, 1, 1, 0, 0
48, 42, 156, 0, 0, 1, 1, 0, 0
49, 41, 156, 0, 0, 1, 2, 0, 0
50, 41, 156, 0, 0, 1, 2, 0, 0
51, 41, 156, 0, 0, 1, 2, 0, 0
52, 41, 156, 0, 0, 1, 2, 0, 0
53, 41, 156, 0, 0, 1, 2, 0, 0
54, 40, 156, 0, 0, 2, 2, 0, 0
55, 39, 156, 0, 0, 3, 2, 0, 0
56, 38, 156, 0, 0, 3, 3, 0, 0
57, 38, 156, 0, 0, 3, 3, 0, 0
58, 38, 156, 0, 0, 3, 3, 0, 0
59, 38, 156, 0, 0, 3, 3, 0, 0
60, 38, 156, 0, 0, 3, 3, 0, 0
61, 38, 156, 0, 0, 3, 3, 0, 0
62, 37, 156, 0, 0, 4, 3, 0, 0
63, 37, 156, 0, 0, 4, 3, 0, 0
64, 36, 156, 0, 0, 4, 4, 0, 0
