Space Data
QuorumThresh = 6
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 44, 156, 0, 0, 0, 0, 0, 0
4, 44, 156, 0, 0, 0, 0, 0, 0
5, 44, 156, 0, 0, 0, 0, 0, 0
6, 44, 156, 0, 0, 0, 0, 0, 0
7, 44, 156, 0, 0, 0, 0, 0, 0
8, 44, 156, 0, 0, 0, 0, 0, 0
9, 44, 156, 0, 0, 0, 0, 0, 0
10, 44, 156, 0, 0, 0, 0, 0, 0
11, 44, 156, 0, 0, 0, 0, 0, 0
12, 44, 156, 0, 0, 0, 0, 0, 0
13, 44, 156, 0, 0, 0, 0, 0, 0
14, 44, 156, 0, 0, 0, 0, 0, 0
15, 44, 156, 0, 0, 0, 0, 0, 0
16, 44, 156, 0, 0, 0, 0, 0, 0
17, 44, 156, 0, 0, 0, 0, 0, 0
18, 44, 156, 0, 0, 0, 0, 0, 0
19, 44, 156, 0, 0, 0, 0, 0, 0
20, 44, 156, 0, 0, 0, 0, 0, 0
21, 44, 156, 0, 0, 0, 0, 0, 0
22, 43, 156, 0, 0, 0, 1, 0, 0
23, 43, 156, 0, 0, 0, 1, 0, 0
24, 43, 156, 0, 0, 0, 1, 0, 0
25, 43, 156, 0, 0, 0, 1, 0, 0
26, 43, 156, 0, 0, 0, 1, 0, 0
27, 43, 156, 0, 0, 0, 1, 0, 0
28, 43, 156, 0, 0, 0, 1, 0, 0
29, 43, 156, 0, 0, 0, 1, 0, 0
30, 43, 156, 0, 0, 0, 1, 0, 0
31, 43, 156, 0, 0, 0, 1, 0, 0
32, 42, 156, 0, 0, 1, 1, 0, 0
33, 42, 156, 0, 0, 1, 1, 0, 0
34, 42, 156, 0, 0, 1, 1, 0, 0
35, 42, 156, 0, 0, 1, 1, 0, 0
36, 42, 156, 0, 0, 1, 1, 0, 0
37, 41, 156, 0, 0, 2, 1, 0, 0
38, 41, 156, 0, 0, 2, 1, 0, 0
39, 41, 156, 0, 0, 2, 1, 0, 0
40, 41, 156, 0, 0, 2, 1, 0, 0
41, 41, 156, 0, 0, 2, 1, 0, 0
42, 40, 156, 0, 0, 2, 2, 0, 0
43, 40, 156, 0, 0, 2, 2, 0, 0
44, 40, 156, 0, 0, 2, 2, 0, 0
45, 40, 156, 0, 0, 2, 2, 0, 0
46, 39, 156, 0, 0, 2, 3, 0, 0
47, 39, 156, 0, 0, 2, 3, 0, 0
48, 39, 156, 0, 0, 2, 3, 0, 0
49, 39, 156, 0, 0, 2, 3, 0, 0
50, 39, 156, 0, 0, 2, 3, 0, 0
51, 39, 156, 0, 0, 2, 3, 0, 0
52, 39, 156, 0, 0, 2, 3, 0, 0
53, 39, 156, 0, 0, 2, 3, 0, 0
54, 39, 156, 0, 0, 2, 3, 0, 0
55, 39, 156, 0, 0, 2, 3, 0, 0
56, 39, 156, 0, 0, 2, 3, 0, 0
57, 39, 156, 0, 0, 2, 3, 0, 0
58, 39, 156, 0, 0, 2, 3, 0, 0
59, 39, 156, 0, 0, 2, 3, 0, 0
60, 39, 156, 0, 0, 2, 3, 0, 0
61, 38, 156, 0, 0, 3, 3, 0, 0
62, 38, 156, 0, 0, 3, 3, 0, 0
63, 38, 156, 0, 0, 3, 3, 0, 0
64, 38, 156, 0, 0, 3, 3, 0, 0
