Space Data
QuorumThresh = 2
Colony size = 200
T, S, P0, P1, P2, A1, A2, R1, R2
0, 0, 200, 0, 0, 0, 0, 0, 0
1, 0, 200, 0, 0, 0, 0, 0, 0
2, 0, 200, 0, 0, 0, 0, 0, 0
3, 47, 153, 0, 0, 0, 0, 0, 0
4, 47, 153, 0, 0, 0, 0, 0, 0
5, 47, 153, 0, 0, 0, 0, 0, 0
6, 47, 153, 0, 0, 0, 0, 0, 0
7, 47, 153, 0, 0, 0, 0, 0, 0
8, 47, 153, 0, 0, 0, 0, 0, 0
9, 47, 153, 0, 0, 0, 0, 0, 0
10, 47, 153, 0, 0, 0, 0, 0, 0
11, 47, 153, 0, 0, 0, 0, 0, 0
12, 47, 153, 0, 0, 0, 0, 0, 0
13, 47, 153, 0, 0, 0, 0, 0, 0
14, 47, 153, 0, 0, 0, 0, 0, 0
15, 47, 153, 0, 0, 0, 0, 0, 0
16, 47, 153, 0, 0, 0, 0, 0, 0
17, 47, 153, 0, 0, 0, 0, 0, 0
18, 47, 153, 0, 0, 0, 0, 0, 0
19, 47, 153, 0, 0, 0, 0, 0, 0
20, 47, 153, 0, 0, 0, 0, 0, 0
21, 47, 153, 0, 0, 0, 0, 0, 0
22, 47, 153, 0, 0, 0, 0, 0, 0
23, 47, 153, 0, 0, 0, 0, 0, 0
24, 46, 153, 0, 0, 1, 0, 0, 0
25, 46, 153, 0, 0, 1, 0, 0, 0
26, 46, 153, 0, 0, 1, 0, 0, 0
27, 46, 153, 0, 0, 1, 0, 0, 0
28, 46, 153, 0, 0, 1, 0, 0, 0
29, 46, 153, 0, 0, 1, 0, 0, 0
30, 46, 153, 0, 0, 1, 0, 0, 0
31, 46, 153, 0, 0, 1, 0, 0, 0
32, 46, 153, 0, 0, 1, 0, 0, 0
33, 46, 153, 0, 0, 1, 0, 0, 0
34, 45, 153, 0, 0, 2, 0, 0, 0
35, 45, 153, 0, 0, 2, 0, 0, 0
36, 45, 153, 0, 0, 2, 0, 0, 0
37, 45, 153, 0, 0, 2, 0, 0, 0
38, 45, 153, 0, 0, 2, 0, 0, 0
39, 45, 153, 0, 0, 2, 0, 0, 0
40, 44, 153, 0, 0, 3, 0, 0, 0
41, 43, 153, 0, 0, 3, 1, 0, 0
42, 41, 153, 0, 0, 4, 2, 0, 0
43, 41, 153, 0, 0, 4, 2, 0, 0
44, 41, 153, 0, 0, 4, 2, 0, 0
45, 41, 153, 0, 0, 4, 2, 0, 0
46, 40, 153, 0, 0, 4, 3, 0, 0
47, 39, 153, 0, 0, 4, 4, 0, 0
48, 39, 153, 0, 0, 4, 4, 0, 0
49, 39, 153, 0, 0, 4, 4, 0, 0
50, 39, 153, 0, 0, 4, 4, 0, 0
51, 39, 153, 0, 0, 4, 4, 0, 0
52, 39, 153, 0, 0, 4, 4, 0, 0
53, 39, 153, 0, 0, 4, 4, 0, 0
54, 39, 153, 0, 0, 4, 4, 0, 0
55, 39, 153, 0, 0, 4, 4, 0, 0
56, 39, 153, 0, 0, 4, 4, 0, 0
57, 39, 153, 0, 0, 4, 4, 0, 0
58, 39, 153, 0, 0, 4, 4, 0, 0
59, 39, 153, 0, 0, 4, 4, 0, 0
60, 39, 153, 0, 0, 4, 4, 0, 0
61, 38, 153, 0, 0, 4, 5, 0, 0
62, 38, 153, 0, 0, 4, 5, 0, 0
63, 38, 153, 0, 0, 4, 5, 0, 0
64, 38, 153, 0, 0, 4, 5, 0, 0
